,band_1,band_5,band_11,ADM2_CODE,ADM2_NAME,ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME
0,0,0,0,371794.0,Bafing,687860.0,Woroba,66.0,Côte d'Ivoire
1,0,0,0,371795.0,Bagoué,1048.0,Savanes,66.0,Côte d'Ivoire
2,0,0,0,371796.0,Bélier,1043.0,Lacs,66.0,Côte d'Ivoire
3,0,0,0,371797.0,Béré,687860.0,Woroba,66.0,Côte d'Ivoire
4,0,0,0,371798.0,Bounkani,1053.0,Zanzan,66.0,Côte d'Ivoire
5,0,0,0,371799.0,Cavally,687866.0,Montagnes,66.0,Côte d'Ivoire
6,0,0,0,371801.0,District Autonome de Yamoussoukro,687864.0,District Autonome de Yamoussoukro,66.0,Côte d'Ivoire
7,0,0,0,371802.0,Folon,1041.0,Denguele,66.0,Côte d'Ivoire
8,0,0,0,371803.0,Gbèkè,687868.0,Valleé du Bandama,66.0,Côte d'Ivoire
9,0,0,0,371805.0,Gôh,687862.0,Gôh-Djiboua,66.0,Côte d'Ivoire
10,0,0,0,371806.0,Gontougo,1053.0,Zanzan,66.0,Côte d'Ivoire
11,0,0,0,371808.0,Guémon,687866.0,Montagnes,66.0,Côte d'Ivoire
12,0,0,0,371809.0,Hambol,687868.0,Valleé du Bandama,66.0,Côte d'Ivoire
13,0,0,0,371810.0,Haut-Sassandra,687863.0,Sassandra-Marahoué,66.0,Côte d'Ivoire
14,0,0,0,371811.0,Iffou,1043.0,Lacs,66.0,Côte d'Ivoire
15,0,0,0,371812.0,Indénié-Djuablin,687867.0,Comoé,66.0,Côte d'Ivoire
16,0,0,0,371813.0,Kabadougou,1041.0,Denguele,66.0,Côte d'Ivoire
17,0,0,0,371814.0,Lôh-Djiboua,687862.0,Gôh-Djiboua,66.0,Côte d'Ivoire
18,0,0,0,371815.0,Marahoué,687863.0,Sassandra-Marahoué,66.0,Côte d'Ivoire
19,0,0,0,371816.0,Mé,1044.0,Lagunes,66.0,Côte d'Ivoire
20,0,0,0,371817.0,N'Zi,1043.0,Lacs,66.0,Côte d'Ivoire
21,0,0,0,371818.0,Nawa,687861.0,Bas-Sassandra,66.0,Côte d'Ivoire
22,0,0,0,371819.0,Poro,1048.0,Savanes,66.0,Côte d'Ivoire
23,0,0,0,371821.0,Sud-Comoé,687867.0,Comoé,66.0,Côte d'Ivoire
24,0,0,0,371822.0,Tchologo,1048.0,Savanes,66.0,Côte d'Ivoire
25,0,0,0,371823.0,Tonkpi,687866.0,Montagnes,66.0,Côte d'Ivoire
26,0,0,0,371824.0,Worodougou,687860.0,Woroba,66.0,Côte d'Ivoire
27,0,0,0,371825.0,Moronou,1043.0,Lacs,66.0,Côte d'Ivoire
