,ADM0_NAME,ADM1_NAME,ADM2_NAME,band_1,band_5,band_11
0,Madagascar,Alaotra Mangoro,Ambatondrazaka,0,0,0
1,Madagascar,Alaotra Mangoro,Amparafaravola,0,0,0
2,Madagascar,Alaotra Mangoro,Andilamena,0,0,0
3,Madagascar,Alaotra Mangoro,Anosibe-An'ala,0,0,0
4,Madagascar,Alaotra Mangoro,Moramanga,0,0,0
5,Madagascar,Amoron'i Mania,Ambatofinandrahana,0,0,0
6,Madagascar,Amoron'i Mania,Ambositra,0,0,0
7,Madagascar,Amoron'i Mania,Fandriana,0,0,0
8,Madagascar,Amoron'i Mania,Manandriana,0,0,0
9,Madagascar,Analamanga,Ambohidratrimo,0,0,0
10,Madagascar,Analamanga,Andramasina,0,0,0
11,Madagascar,Analamanga,Anjozorobe,0,0,0
12,Madagascar,Analamanga,Ankazobe,0,0,0
13,Madagascar,Analamanga,Antananarivo Atsimondrano,0,0,0
14,Madagascar,Analamanga,Antananarivo Avaradrano,0,0,0
15,Madagascar,Analamanga,Antananarivo Renivohitra,0,0,0
16,Madagascar,Analamanga,Manjakandriana,0,0,0
17,Madagascar,Analanjirofo,Fenerive Est,0,0,0
18,Madagascar,Analanjirofo,Mananara Avaratra,0,0,0
19,Madagascar,Analanjirofo,Maroantsetra,0,0,0
20,Madagascar,Analanjirofo,Soanierana Ivongo,0,0,0
21,Madagascar,Analanjirofo,Vavatenina,0,0,0
22,Madagascar,Androy,Ambovombe-Androy,0,0,0
23,Madagascar,Androy,Bekily,0,0,0
24,Madagascar,Androy,Beloha,0,0,0
25,Madagascar,Androy,Tsihombe,0,0,0
26,Madagascar,Anosy,Amboasary-Atsimo,0,0,0
27,Madagascar,Anosy,Betroka,0,0,0
28,Madagascar,Anosy,Taolagnaro,0,0,0
29,Madagascar,Atsimo Andrefana,Ampanihy Ouest,0,0,0
30,Madagascar,Atsimo Andrefana,Ankazoabo,0,0,0
31,Madagascar,Atsimo Andrefana,Benenitra,0,0,0
32,Madagascar,Atsimo Andrefana,Beroroha,0,0,0
33,Madagascar,Atsimo Andrefana,Betioky Atsimo,0,0,0
34,Madagascar,Atsimo Andrefana,Morombe,0,0,0
35,Madagascar,Atsimo Andrefana,Sakaraha,0,0,0
36,Madagascar,Atsimo Andrefana,Toliara I,0,0,0
37,Madagascar,Atsimo Andrefana,Toliara II,0,0,0
38,Madagascar,Atsimo Atsinanana,Befotaka,0,0,0
39,Madagascar,Atsimo Atsinanana,Farafangana,0,0,0
40,Madagascar,Atsimo Atsinanana,Midongy Atsimo,0,0,0
41,Madagascar,Atsimo Atsinanana,Vangaindrano,0,0,0
42,Madagascar,Atsimo Atsinanana,Vondrozo,0,0,0
43,Madagascar,Atsinanana,Antanambao Manampontsy,0,0,0
44,Madagascar,Atsinanana,Brickaville,0,0,0
45,Madagascar,Atsinanana,Mahanoro,0,0,0
46,Madagascar,Atsinanana,Marolambo,0,0,0
47,Madagascar,Atsinanana,Toamasina I,0,0,0
48,Madagascar,Atsinanana,Toamasina II,0,0,0
49,Madagascar,Atsinanana,Vatomandry,0,0,0
50,Madagascar,Betsiboka,Kandreho,0,0,0
51,Madagascar,Betsiboka,Maevatanana,0,0,0
52,Madagascar,Betsiboka,Tsaratanana,0,0,0
53,Madagascar,Boeny,Ambato Boeni,0,0,0
54,Madagascar,Boeny,Mahajanga I,0,0,0
55,Madagascar,Boeny,Mahajanga II,0,0,0
56,Madagascar,Boeny,Marovoay,0,0,0
57,Madagascar,Boeny,Mitsinjo,0,0,0
58,Madagascar,Boeny,Soalala,0,0,0
59,Madagascar,Bongolava,Fenoarivobe,0,0,0
60,Madagascar,Bongolava,Tsiroanomandidy,0,0,0
61,Madagascar,Diana,Ambanja,0,0,0
62,Madagascar,Diana,Ambilobe,0,0,0
63,Madagascar,Diana,Antsiranana I,0,0,0
64,Madagascar,Diana,Antsiranana II,0,0,0
65,Madagascar,Haute Matsiatra,Ambalavao,0,0,0
66,Madagascar,Haute Matsiatra,Ambohimahasoa,0,0,0
67,Madagascar,Haute Matsiatra,Fianarantsoa I,0,0,0
68,Madagascar,Haute Matsiatra,Ikalamavony,0,0,0
69,Madagascar,Haute Matsiatra,Isandra,0,0,0
70,Madagascar,Haute Matsiatra,Lalangina,0,0,0
71,Madagascar,Haute Matsiatra,Vohibato,0,0,0
72,Madagascar,Ihorombe,Iakora,0,0,0
73,Madagascar,Ihorombe,Ihosy,0,0,0
74,Madagascar,Ihorombe,Ivohibe,0,0,0
75,Madagascar,Itasy,Arivonimamo,0,0,0
76,Madagascar,Itasy,Miarinarivo,0,0,0
77,Madagascar,Itasy,Soavinandriana,0,0,0
78,Madagascar,Melaky,Ambatomainty,0,0,0
79,Madagascar,Melaky,Antsalova,0,0,0
80,Madagascar,Melaky,Besalampy,0,0,0
81,Madagascar,Melaky,Maintirano,0,0,0
82,Madagascar,Melaky,Morafenobe,0,0,0
83,Madagascar,Menabe,Belo Sur Tsiribihina,0,0,0
84,Madagascar,Menabe,Mahabo,0,0,0
85,Madagascar,Menabe,Manja,0,0,0
86,Madagascar,Menabe,Miandrivazo,0,0,0
87,Madagascar,Menabe,Morondava,0,0,0
88,Madagascar,Sava,Andapa,0,0,0
89,Madagascar,Sava,Antalaha,0,0,0
90,Madagascar,Sava,Sambava,0,0,0
91,Madagascar,Sava,Vohemar,0,0,0
92,Madagascar,Sofia,Analalava,0,0,0
93,Madagascar,Sofia,Antsohihy,0,0,0
94,Madagascar,Sofia,Bealanana,0,0,0
95,Madagascar,Sofia,Befandriana Nord,0,0,0
96,Madagascar,Sofia,Mampikony,0,0,0
97,Madagascar,Sofia,Mandritsara,0,0,0
98,Madagascar,Sofia,Port-Berge (Boriziny Vaovao),0,0,0
99,Madagascar,Vakinankaratra,Ambatolampy,0,0,0
100,Madagascar,Vakinankaratra,Antanifotsy,0,0,0
101,Madagascar,Vakinankaratra,Antsirabe I,0,0,0
102,Madagascar,Vakinankaratra,Antsirabe II,0,0,0
103,Madagascar,Vakinankaratra,Betafo,0,0,0
104,Madagascar,Vakinankaratra,Faratsiho,0,0,0
105,Madagascar,Vakinankaratra,Mandoto,0,0,0
106,Madagascar,Vatovavy Fitovinany,Ifanadiana,0,0,0
107,Madagascar,Vatovavy Fitovinany,Ikongo,0,0,0
108,Madagascar,Vatovavy Fitovinany,Manakara Atsimo,0,0,0
109,Madagascar,Vatovavy Fitovinany,Mananjary,0,0,0
110,Madagascar,Vatovavy Fitovinany,Nosy-Varika,0,0,0
111,Madagascar,Vatovavy Fitovinany,Vohipeno,0,0,0
